timestamp,uploaded_image_path,cropped_image_path,result_text
2023-04-16 17:30:34,static/uploads/5.jpg,static/result/cropped_image_ce2d632c-b8c0-4b3c-b810-48d85d95df12.jpg,0269118

2023-04-16 17:30:34,static/uploads/9.jpg,static/result/cropped_image_88bad10c-3b8b-4bab-8004-0dd283409387.jpg,0372182

2023-04-17 07:09:49,static/uploads/20.jpg,static/result/cropped_image_da1c2dfc-2c6e-4f12-a161-c62f84314ae2.jpg,0133092

2023-04-17 07:12:35,static/uploads/3.jpg,static/result/cropped_image_fa2b96a1-b9aa-40b3-abb9-faba56c03c8a.jpg,02465

2023-04-17 07:27:48,static/uploads/14.jpg,static/result/cropped_image_4b300242-1c12-4d25-b5bf-ac67ac1522f8.jpg,0295885

2023-05-07 12:56:21,static/uploads/5.jpg,static/result/cropped_image_9fae4a27-44f3-4f59-8d0a-208f366a1369.jpg,0269118

2023-05-23 17:22:03,static/uploads/3.jpg,static/result/cropped_image_7c778bdd-6651-4ede-8813-40c7b743e35f.jpg,02465

2023-05-26 07:48:08,static/uploads/photo_2023-05-26_07-39-34.jpg,static/result/cropped_image_8dec866b-149d-455f-90e7-11679a8dae26.jpg,034303

2023-05-26 08:16:49,static/uploads/photo_2023-05-26_07-39-34_2.jpg,static/result/cropped_image_06c17d1c-820f-43ce-8689-6710c30efa4b.jpg,0372182

2023-05-26 08:19:44,static/uploads/final.jpg,static/result/cropped_image_b0c58d28-8aab-44f6-b8c2-a00662760d87.jpg,0295885

2023-05-26 08:24:18,static/uploads/final.jpg,static/result/cropped_image_e4516b59-860d-4f6a-accc-af6a9d165d17.jpg,0295885
2023-05-26 08:25:18,static/uploads/final.jpg,static/result/cropped_image_ff959197-78ef-4c6a-85ec-15468977826f.jpg,0295885
2023-05-26 08:26:17,static/uploads/final.jpg,static/result/cropped_image_2da0f0a6-51e8-4ed8-b1d3-1d3d168c765f.jpg,0295885
2023-06-12 17:12:13,static/uploads/3.jpg,static/result/cropped_image_142bb59a-e54f-45c7-83cb-868f5c9c9700.jpg,02465
2023-06-12 17:14:00,static/uploads/3.jpg,static/result/cropped_image_57a09f31-cfb7-4a18-9147-86932c0eea96.jpg,[]
2023-06-12 17:15:08,static/uploads/5.jpg,static/result/cropped_image_d60fadcd-da77-479e-88dc-f3cb07818e30.jpg,[]
2023-06-12 17:15:08,static/uploads/9.jpg,static/result/cropped_image_07f01f75-9fb2-4b8d-abbc-662749b61981.jpg,[]
